Date,Authorname,CentralBank,Role,position_in_fed,district,female,minority,federal_reserve,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19
1986-04-23,Paul A Volcker,Board of Governors of the Federal Reserve,Governor,Chair,Philadelphia,0.0,0.0,Board of Governors,-0.17479229,0.18215838,0.35189357,0.24154603,0.90998936,-0.68344766,-0.7115409,-0.29598168,-1.3293647,0.6566896,-0.015411677,0.13148491,-0.13441919,-0.1379238,-0.85618126,-0.34112534,-0.17120735,-0.7829949,-0.14360942,-0.086912125
1986-04-26,Manuel H Johnson,Board of Governors of the Federal Reserve,Board member,Member,Richmond,0.0,0.0,Board of Governors,-0.33084399,-0.026414802,0.86922604,-0.629303,-0.80075693,-0.52940387,-1.4827055,1.2162657,0.7525064,-0.11508597,0.096300915,-0.035016704,1.209268,0.097238265,0.9360029,-0.6442247,0.016463827,-0.4237656,-0.5152559,-0.36036655
1986-05-05,Thomas C Melzer,Federal Reserve Bank of St Louis,Governor,President,St. Louis,0.0,0.0,Federal Reserve Bank of St. Louis,-0.54354763,0.98581433,-1.2086618,-2.3363662,-0.56575555,-1.3672286,1.0903404,-0.6101479,-0.95378196,0.6129897,0.38987547,1.4622929,-0.5844593,0.7486231,-1.8512989,2.1953971,2.4211986,2.619677,0.026157925,1.5153185
1986-05-05,Paul A Volcker,Board of Governors of the Federal Reserve,Governor,Chair,Philadelphia,0.0,0.0,Board of Governors,0.0018754905,-1.5741411,-0.041260906,0.66117764,-0.6733422,-0.50659364,0.52485216,0.3055287,-0.3186637,1.8491248,1.7333276,2.1261723,0.41566855,2.1806169,0.22777066,0.6838778,2.2726004,0.22532772,-0.021846967,0.11899794
1986-05-07,Paul A Volcker,Board of Governors of the Federal Reserve,Governor,Chair,Philadelphia,0.0,0.0,Board of Governors,-0.23333791,1.1696504,-0.70928925,0.44504803,-0.0985947,-0.41980127,0.5008088,-1.7362164,0.34084743,1.5877405,-1.6472913,-1.238945,1.3457115,-1.290517,0.29608575,-1.0388585,0.74213076,0.7048752,-1.7982856,0.48579773
1986-05-08,Paul A Volcker,Board of Governors of the Federal Reserve,Governor,Chair,Philadelphia,0.0,0.0,Board of Governors,-0.33558267,-0.15490553,0.71473855,-0.117923476,-0.27901426,-1.2295641,-1.0948318,0.3277364,0.6262252,-0.12511373,0.012825045,-0.09212938,1.0564972,1.1115142,-0.06126448,-0.13506712,0.5066427,0.8163204,-0.8428944,0.15971823
1986-05-13,Paul A Volcker,Board of Governors of the Federal Reserve,Governor,Chair,Philadelphia,0.0,0.0,Board of Governors,-0.20279974,1.0487535,-0.75530577,0.88301975,-0.042109556,-0.76030207,0.14638893,-1.3645225,0.24662486,1.5780959,-1.6307452,-1.402705,1.1535027,-0.85043466,0.16384186,-1.1091889,0.79853106,0.7676197,-1.6011423,0.75650364
1986-05-14,Robert P Forrestal,Federal Reserve Bank of Atlanta,Governor,President,Atlanta,0.0,0.0,Federal Reserve Bank of Atlanta,-0.3085577,-0.35893962,1.179579,-0.53811723,0.23979095,0.21586806,-0.4047781,0.7641332,-0.62310064,0.57032657,0.19688506,-0.41963738,0.2343873,-0.7763624,-0.070258,-0.4186091,0.7017434,0.664146,-0.3724957,0.7775245
1986-05-14,Martha Romayne Seger,Board of Governors of the Federal Reserve,Board member,Member,Chicago,1.0,0.0,Board of Governors,-0.25865734,1.679598,-0.9969303,0.9918972,-0.00079025235,1.214921,0.6830022,-1.4227778,1.1117233,0.23510483,-0.67666805,-1.1901941,1.1379049,-2.0154169,-0.16871399,-1.0819827,0.43084124,-0.34044674,-1.7526706,0.11265512
1986-05-15,Robert P Forrestal,Federal Reserve Bank of Atlanta,Governor,President,Atlanta,0.0,0.0,Federal Reserve Bank of Atlanta,-0.3437652,0.0461418,0.4833985,0.17801368,-1.7899396,0.45271367,-2.0134964,1.6342163,-0.5030724,-0.050348442,0.8090062,-0.6620824,0.2964622,-1.5363337,0.14613497,-0.970489,0.58439684,-0.93941104,-0.31704974,1.451689
1986-05-21,Emmett John Rice,Board of Governors of the Federal Reserve,Board member,Member,New York,0.0,1.0,Board of Governors,-0.27029544,1.2320119,-0.62687725,0.4367695,-0.21370257,0.6498829,1.5416576,-1.8619332,0.32753694,0.71957827,0.117819436,-0.61741775,-0.5687627,-3.5267982,-0.5933126,-0.47843832,2.0483654,1.5761192,-1.8489395,0.9796213
1986-05-22,Thomas C Melzer,Federal Reserve Bank of St Louis,Governor,President,St. Louis,0.0,0.0,Federal Reserve Bank of St. Louis,-0.18277998,0.36009726,0.80329645,0.119342096,0.053792365,-0.7863074,-1.5034964,-1.8820825,0.38108766,0.2477266,0.56014264,-0.68723613,-0.052492104,0.054073807,1.2311665,0.28259337,0.8200414,0.5584396,1.7776487,-0.29529843
